No.,Category,URL,Name,Description,Author,Rating,Price
113,Music,https://www.udemy.com/course/pianoforall-incredible-new-way-to-learn-piano-keyboard/,Pianoforall - Incredible New Way To Learn Piano & Keyboard,"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",Robin Hall,4.63385,€20.99
114,Music,https://www.udemy.com/course/complete-guitar-system-beginner-to-advanced/,Complete Guitar System - Beginner to Advanced,All-in-one Guitar Course With a Proven Step-by-step Learning System.,Erich Andreas,4.51818,€18.99
115,Music,https://www.udemy.com/course/music-theory-complete/,"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)","A Complete College-Level Music Theory Curriculum. This edition of the course includes levels 1, 2, & 3.",Jason Allen,4.59912,€22.99
116,Music,https://www.udemy.com/course/music-production-in-logic-pro-x-course/,Music + Audio Production in Logic Pro X - The Complete Guide,"Become a master at using Logic Pro X | Understand music production | Learn to record, edit & mix audio to a pro standard",Make Pro Music,4.49784,€20.99
117,Music,https://www.udemy.com/course/thecompletelogicprox/,Music Production in Logic Pro X - The Complete Course!,"Join Successful Music Production + Logic Pro X students in Creating, Recording, Mixing Music + Mastering in Logic Pro X","Tomas George, Christopher Carvalho, Ian Alexander, Digital Music Masters",4.6279,€22.99
118,Music,https://www.udemy.com/course/music-theory-for-electronic-music-complete-parts-1-2-3/,"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3","Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",Jason Allen,4.62235,€22.99
119,Music,https://www.udemy.com/course/the-professional-guitar-masterclass/,The Professional Guitar Masterclass,Learn The Tools Used By The World's Top Professional Guitar Players.,Michael Palmisano,4.44425,€18.99
120,Music,https://www.udemy.com/course/benhewlettharmonicatuitionultimate-harmonica-course/,"Learn to play HARMONICA, the easiest instrument to pick up!","Ultimate diatonic harmonica lessons, blues, country music, rock; you will learn how to play on/off stage, solo/group",Ben Hewlett,4.47195,€20.99
121,Music,https://www.udemy.com/course/beginner-guitar-masterclass/,Ultimate Beginner Guitar Masterclass (2020 Update),Beginner guitar lessons. Go from knowing nothing about the guitar and learn to play songs everbody loves in just weeks,Henry Olsen,4.62297,€19.99
122,Music,https://www.udemy.com/course/become-a-great-singer-your-complete-vocal-training-system/,BECOME A GREAT SINGER: Your Complete Vocal Training System,"Immediately Improve Your Singing. (Any Level, Any Style)",Robert Lunte,4.16163,€18.99
123,Music,https://www.udemy.com/course/fl-studio/,FL Studio 20 - Music Production In FL Studio for Mac & PC,"Music Production in FL Studio 20 - Learn How To Manage FL Studio in Just One Day - Creating Music, Mixing & Mastering","Martin Svensson, Music-Prod.com Education",4.60946,€20.99
124,Music,https://www.udemy.com/course/abletonlive10/,Music Production in Ableton Live 10 - The Complete Course!,"Learn Music Production in Ableton Live 10 Today and Understand how to Create, Record and Edit Your Own Music + Live Sets","Tomas George, Digital Music Masters",4.51912,€21.99
125,Music,https://www.udemy.com/course/ultimate-ableton-live-complete/,"Ultimate Ableton Live 9 COMPLETE: Parts 1, 2, & 3","Learning Ableton Live the right way: From the basics to the advanced, from Ableton Certified Trainer J. Anthony Allen.",Jason Allen,4.45613,€22.99
126,Music,https://www.udemy.com/course/sight-reading/,Read Music FAST!,Learn to read music using my unique method: just see a note on a piano score and play it on the keyboard straight away,Benedict Westenra,4.67762,€19.99
127,Music,https://www.udemy.com/course/online-dj-course/,How to Become a DJ - Learn How to Start DJing Online Today,"Professional DJ School - 11 hours of high-quality content. Former students on: Armada, Spinnin, Ultra, Revealed, & more!",Ross Palmer,4.55292,€20.99
128,Music,https://www.udemy.com/course/gamemusiccourse/,Game Music Composition: Make Music For Games From Scratch,"Learn to compose music for any and every type of video game, from complete beginner to competent game music composer",Karleen Heong,4.51312,€21.99
